,上市前/上市后,报表类型,公司类型,一、营业总收入(百万元),营业收入(百万元),二、营业总成本(百万元),营业成本(百万元),研发费用(百万元),税金及附加(百万元),销售费用(百万元),管理费用(百万元),财务费用(百万元),其中:利息费用(百万元),利息收入(百万元),资产减值损失(百万元),三、其他经营收益,加:公允价值变动收益(百万元),加:投资收益(百万元),其中:对联营企业和合营企业的投资收益(百万元),资产处置收益(百万元),资产减值损失(新)(百万元),信用减值损失(新)(百万元),其他收益(百万元),营业利润平衡项目(百万元),四、营业利润(百万元),加:营业外收入(百万元),其中:非流动资产处置利得(百万元),减:营业外支出(百万元),其中:非流动资产处置净损失(百万元),利润总额平衡项目(百万元),五、利润总额(百万元),减:所得税费用(百万元),六、净利润(百万元),(一)按经营持续性分类,持续经营净利润(百万元),(二)按所有权归属分类,归属于母公司股东的净利润(百万元),少数股东损益(百万元),扣除非经常性损益后的净利润(百万元),七、每股收益,(一)基本每股收益(元),(二)稀释每股收益(元),八、其他综合收益(百万元),归属于母公司股东的其他综合收益(百万元),归属于少数股东的其他综合收益(百万元),九、综合收益总额(百万元),归属于母公司所有者的综合收益总额(百万元),归属于少数股东的综合收益总额(百万元),公告日期,数据来源,审计意见(境内)
2020年中报,上市后,合并报表,通用,9610.57,9610.57,9198.79,8599.24,30.82,41.79,53.2,304.77,168.97,185.36,15.8,,,,20.47,-2.51,1.28,-7.72,-78.21,65.27,,412.88,3.94,,12.97,,,403.85,86.14,317.71,,317.71,,328.16,-10.45,289.53,,0.09,0.09,-24.82,-26.31,1.49,292.89,301.85,-8.96,44068,半年度报告,
2019年年报,上市后,合并报表,通用,18091.8,18091.8,17396.12,16029.3,73.21,91.38,113.78,728.36,360.08,390.02,25.54,,,,32.81,2.29,3.52,-52.43,-17.49,170.07,,832.16,29.28,,17.83,,,843.61,203.29,640.32,,640.32,,616.29,24.03,484.79,,0.17,0.17,27.62,24.04,3.58,667.94,640.33,27.61,43949,年报报告,标准无保留意见
2019年中报,上市后,合并报表,通用,8519.22,8519.22,8176.44,7559.59,26.32,41.98,40.72,324.53,183.3,200.54,18.8,,,,9.3,-1.74,1.72,-0.19,-76.87,85.04,,361.77,1.84,,9.6,,,354.01,108.63,245.38,,245.38,,266.03,-20.65,210.99,,0.07,0.07,38.99,38.99,,284.37,305.02,-20.65,43701,半年度报告,
2018年年报,上市后,合并报表,通用,13954.72,13954.72,13304.84,11931.89,53.25,100.21,81.52,650.76,338.91,392.18,46.8,148.3,,,39.49,0.78,15.07,,,128.12,,832.55,37.05,,31.65,,,837.94,258.95,578.99,,578.99,,583.79,-4.8,467.97,,0.16,0.16,-95.57,-95.57,,483.42,488.22,-4.8,43575,年报报告,标准无保留意见
2018年中报,上市后,合并报表,通用,5693.75,5693.75,5372.33,4802.68,,53.61,31.35,273.52,157.25,,,53.91,,-0.04,2.49,-2.72,-2.17,,,78.84,,400.54,11.59,,1.35,,,410.79,117.37,293.42,,293.42,,217.74,75.68,154.11,,0.06,0.06,-33.91,-33.91,,259.51,183.83,75.68,43336,半年度报告,
2017年年报,上市后,合并报表,通用,10203.98,10203.98,9575.4,8332.31,,87.81,77.56,608.48,214.18,,,255.07,,0,26.4,13.38,0.25,,,164.34,,819.56,9.16,,28.23,,,800.48,103.77,696.71,,696.71,,401.34,295.38,322.19,,0.11,0.11,173.66,173.66,,870.37,575,295.38,43210,年报报告,标准无保留意见
2017年中报,上市后,合并报表,通用,4075.38,4075.38,3788.84,3287.03,,45.82,34.92,277.64,99.83,,,43.59,,-0.01,-3.29,-3.34,,,,25.95,,309.2,47.33,0.54,25.63,15.93,,330.89,110.03,220.86,,,,111.96,108.9,97.72,,0.03,0.03,102.53,102.53,,323.4,214.5,108.9,42965,半年度报告,
2016年年报,上市后,合并报表,通用,5113.16,5113.16,4939.96,4011.46,,62.27,67.13,598.22,85.08,,,115.79,,-0.02,8.99,-1.08,,,,,,182.16,138.02,7.03,10.38,4.91,,309.8,229.52,80.28,,,,90.84,-10.56,19.26,,0.03,0.03,,,,80.28,90.84,-10.56,42840,年报报告,标准无保留意见
2016年中报,上市后,合并报表,通用,2218.06,2218.06,2177.16,1722.15,,17.68,28.71,297.32,48.99,,,62.31,,-0.02,-0.04,-0.17,,,,,,40.85,39.07,0.11,2.54,0.61,,77.37,54.83,22.54,,,,31.25,-8.71,8.98,,0.01,0.01,,,,22.54,31.25,-8.71,42601,半年度报告,
2015年年报,上市后,合并报表,通用,6548.81,6548.81,6292.49,5011.14,,49.9,78.69,701.12,145.87,,,305.78,,0.06,23.67,18.53,,,,,,280.05,121.88,0.71,33.78,30.93,,368.14,310.5,57.64,,,,325.72,-268.08,264.75,,0.09,0.09,,,,57.64,325.72,-268.08,42476,年报报告,标准无保留意见
