,Name,上市前/上市后,报表类型,公司类型,一、营业总收入(百万元),营业收入(百万元),二、营业总成本(百万元),营业成本(百万元),研发费用(百万元),税金及附加(百万元),销售费用(百万元),管理费用(百万元),财务费用(百万元),其中:利息费用(百万元),利息收入(百万元),资产减值损失(百万元),三、其他经营收益,加:公允价值变动收益(百万元),加:投资收益(百万元),其中:对联营企业和合营企业的投资收益(百万元),资产处置收益(百万元),资产减值损失(新)(百万元),信用减值损失(新)(百万元),其他收益(百万元),营业利润平衡项目(百万元),四、营业利润(百万元),加:营业外收入(百万元),其中:非流动资产处置利得(百万元),减:营业外支出(百万元),其中:非流动资产处置净损失(百万元),利润总额平衡项目(百万元),五、利润总额(百万元),减:所得税费用(百万元),六、净利润(百万元),(一)按经营持续性分类,持续经营净利润(百万元),(二)按所有权归属分类,归属于母公司股东的净利润(百万元),少数股东损益(百万元),扣除非经常性损益后的净利润(百万元),七、每股收益,(一)基本每股收益(元),(二)稀释每股收益(元),八、其他综合收益(百万元),归属于母公司股东的其他综合收益(百万元),归属于少数股东的其他综合收益(百万元),九、综合收益总额(百万元),归属于母公司所有者的综合收益总额(百万元),归属于少数股东的综合收益总额(百万元),公告日期,数据来源,审计意见(境内)
0,2020,上市后,合并报表,通用,20441.387045498497,20441.387045498497,19915.763704471647,18180.63971955072,85.72690729483283,92.79411050284183,126.12429587091123,720.5503564722388,337.05310535851413,360.4971935773412,21.464468085106382,,,,-348.2321196849874,-8.271887971713351,-3.134840853070411,-2130.313684210526,-17.7948861714583,216.65057621181583,,1030.7139539562506,15.473819515125024,,168.7359653652882,,,942.2530714207969,211.68681637596453,714.7834244452474,,727.9927779094008,,701.9362861772581,-18.711222597651588,598.48750069499,,0.19657810010648502,0.19657810010648502,-43.19075141748852,-44.97834113054139,,687.1908224906493,664.0783037793209,-15.35687027517011,0,年度报告,标准无保留意见
1,2019,上市后,合并报表,通用,18091.8,18091.8,17396.12,16029.3,73.21,91.38,113.78,728.36,360.08,390.02,25.54,,,,32.81,2.29,3.52,-52.43,-17.49,170.07,,832.16,29.28,,17.83,,,843.61,203.29,640.32,,640.32,,616.29,24.03,484.79,,0.17,0.17,27.62,24.04,3.58,667.94,640.33,27.61,43949,年报报告,标准无保留意见
2,2018,上市后,合并报表,通用,13954.72,13954.72,13304.84,11931.89,53.25,100.21,81.52,650.76,338.91,392.18,46.8,148.3,,,39.49,0.78,15.07,,,128.12,,832.55,37.05,,31.65,,,837.94,258.95,578.99,,578.99,,583.79,-4.8,467.97,,0.16,0.16,-95.57,-95.57,,483.42,488.22,-4.8,43575,年报报告,标准无保留意见
3,2017,上市后,合并报表,通用,10203.98,10203.98,9575.4,8332.31,,87.81,77.56,608.48,214.18,,,255.07,,0.0,26.4,13.38,0.25,,,164.34,,819.56,9.16,,28.23,,,800.48,103.77,696.71,,696.71,,401.34,295.38,322.19,,0.11,0.11,173.66,173.66,,870.37,575.0,295.38,43210,年报报告,标准无保留意见
4,2016,上市后,合并报表,通用,5113.16,5113.16,4939.96,4011.46,,62.27,67.13,598.22,85.08,,,115.79,,-0.02,8.99,-1.08,,,,,,182.16,138.02,7.03,10.38,4.91,,309.8,229.52,80.28,,,,90.84,-10.56,19.26,,0.03,0.03,,,,80.28,90.84,-10.56,42840,年报报告,标准无保留意见
5,2015,上市后,合并报表,通用,6548.81,6548.81,6292.49,5011.14,,49.9,78.69,701.12,145.87,,,305.78,,0.06,23.67,18.53,,,,,,280.05,121.88,0.71,33.78,30.93,,368.14,310.5,57.64,,,,325.72,-268.08,264.75,,0.09,0.09,,,,57.64,325.72,-268.08,42476,年报报告,标准无保留意见
6,2014,上市后,合并报表,通用,5837.83,5837.83,5466.94,3923.92,,19.84,58.22,769.37,301.05,,,394.54,,0.04,-0.91,-5.04,,,,,,370.01,77.41,0.37,20.4,14.37,,427.02,163.56,263.46,,,,643.03,-379.57,613.64,,0.27,0.27,,,,263.46,643.03,-379.57,42097,年报报告,标准无保留意见
7,2013,上市后,合并报表,通用,8471.93,8471.93,7424.8,5390.71,,35.05,51.32,866.52,337.78,,,743.41,,-0.06,-6.21,-10.45,,,,,,1040.86,176.34,,8.72,4.4,,1208.48,258.4,950.08,,,,1574.19,-624.1,1458.47,,0.65,0.65,,,,950.08,1574.19,-624.1,41712,年报报告,标准无保留意见
8,2012,上市后,合并报表,通用,9241.75,9241.75,7214.16,5425.76,,106.46,46.07,808.69,229.75,,,597.44,,-0.01,-4.83,-9.76,,,,,,2022.76,83.98,,10.76,9.09,,2095.98,423.24,1672.73,,,,1510.38,162.35,1460.13,,0.62,0.62,,,,1672.73,1510.38,162.35,41363,年报报告,标准无保留意见
9,2011,上市后,合并报表,通用,11528.26,11528.26,4266.56,3137.2,,158.0,53.18,625.5,128.52,,,164.16,,-0.13,4.75,6.03,,,,,,7266.32,49.46,,40.23,37.75,,7275.55,1666.74,5608.81,,,,3478.42,2130.39,3485.27,,2.87,2.87,,,,5608.81,3478.42,2130.39,40995,年报报告,标准无保留意见
10,2010,上市后,合并报表,通用,5257.94,5257.94,3444.42,2668.92,,42.27,39.85,490.26,109.6,,,93.52,,0.04,8.45,2.13,,,,,,1822.0,40.62,,20.5,17.74,,1842.12,471.02,1371.1,,,,750.74,620.36,745.65,,0.93,0.93,,,,1371.1,750.74,620.36,40640,年报报告,标准无保留意见
